pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
792371,0,192.168.100.150,48516,192.168.100.3,80,175094,0.226784,100,4.100436,4,4.457383,100,0,0.404711,4.719438,1,0,0
2056418,1,192.168.100.148,22267,192.168.100.3,80,143024,0.451998,100,3.439257,1,3.806172,100,0.225077,0.401397,4.44293,1,1,1
2795650,0,192.168.100.149,28629,192.168.100.3,80,167033,1.931553,73,0,4,2.731204,100,0,0.407287,4.138455,1,1,0
2118009,1,192.168.100.148,42142,192.168.100.3,80,204615,0.428798,56,3.271411,1,3.626428,100,0,0.343654,4.2297,1,1,1
303688,1,192.168.100.149,1645,192.168.100.5,80,40058,2.058381,100,0,3,1.188407,100,0,0.135842,4.753628,1,0,1
420025,1,192.168.100.149,39733,192.168.100.5,80,156396,2.177835,36,0,3,1.539962,36,0,0.127912,4.619887,1,0,1
3008812,0,192.168.100.147,10800,192.168.100.3,80,118034,1.368196,100,1.97518,4,3.910081,100,0,1.02512,4.885159,1,1,0
1064106,0,192.168.100.150,19625,192.168.100.3,80,184672,1.788452,100,0,4,3.576574,100,0,0.446612,4.49208,1,0,0
3258414,0,192.168.100.147,22692,192.168.100.3,80,105486,0.822443,100,2.98003,4,3.982845,100,0,1.003092,4.994536,1,1,0
1793063,1,192.168.100.148,39738,192.168.100.3,80,141822,0.030759,73,0.143091,1,0.173851,100,0.103113,0.309338,0.20461,1,1,1
3652525,1,192.168.100.149,40209,192.168.100.5,1334,29263,0,100,0.004534,1,0.004534,100,0,0,0.004534,1,2,2
2012355,1,192.168.100.148,2808,192.168.100.3,80,98961,1.902401,100,0,3,2.643317,100,0,0.271451,4.398972,1,1,1
2003856,1,192.168.100.147,36026,192.168.100.3,80,90462,0.170796,100,3.26539,1,3.503918,100,0.14778,0.408009,3.656128,1,1,1
628716,0,192.168.100.147,14303,192.168.100.7,80,11439,1.244655,100,0,4,1.758793,100,0,0.306743,2.719768,1,0,0
1061387,0,192.168.100.148,49003,192.168.100.6,80,181953,1.550268,14,0,4,2.685047,14,0,0.240384,3.59623,1,0,0
3445141,0,192.168.100.148,37862,192.168.100.3,80,30060,0.625767,59,2.798243,4,3.682622,100,0,0.726616,4.152734,1,1,0
192578,1,192.168.100.148,55661,192.168.100.6,80,191101,0.005329,60,0,1,0.003077,60,0,0.130665,0.012306,1,0,1
1877025,1,192.168.100.149,56855,192.168.100.3,80,225784,0,72,0,3,0,100,0,0,0,1,1,1
985803,0,192.168.100.148,33699,192.168.100.6,80,106369,0.021371,100,3.550244,4,3.568513,100,0,0.279869,3.604116,1,0,0
285160,1,192.168.100.147,54098,192.168.100.7,80,21530,0,52,0,3,0,52,0,0.121219,0,1,0,1
2917014,0,192.168.100.148,51272,192.168.100.3,80,26236,0.634362,56,2.760138,4,3.657214,100,0,0.729375,4.113655,1,1,0
3025207,0,192.168.100.148,11653,192.168.100.3,80,134429,0.633178,52,2.760852,4,3.6563,100,0,0.729454,4.104394,1,1,0
3264921,0,192.168.100.147,26582,192.168.100.3,80,111993,0.823535,100,2.98066,4,3.986051,100,0,1.002999,4.997871,1,1,0
2348057,1,192.168.100.148,26989,192.168.100.3,80,172517,1.53618,63,0,3,2.164113,100,0,0.311829,3.411198,1,1,1
1680739,1,192.168.100.149,4061,192.168.100.3,80,29498,0.119378,100,0,1,0.119378,100,0,0.185088,0.238756,1,1,1
1547675,0,192.168.100.148,2590,192.168.100.6,80,143932,1.74158,100,0,4,3.016194,100,0,0.247802,4.057666,1,0,0
1248768,0,192.168.100.148,40557,192.168.100.6,80,107179,2.04688,100,0,4,1.669863,100,0,0.190064,4.307466,1,0,0
2584850,1,192.168.100.147,37713,192.168.100.3,80,147163,0.113154,96,0,3,0.065329,100,0,0.092369,0.261317,1,1,1
3059537,0,192.168.100.148,24105,192.168.100.3,80,168759,0.639122,100,2.750087,4,3.653935,100,0,0.729595,4.108791,1,1,0
332527,1,192.168.100.149,15302,192.168.100.5,80,68897,0.018936,100,0,1,0.010933,100,0,0.094236,0.043731,1,0,1
3482249,0,192.168.100.147,8303,192.168.100.3,80,67168,1.196099,100,2.100948,4,3.684233,100,0,0.854435,4.991517,1,1,0
497255,1,192.168.100.150,1716,192.168.100.3,80,233628,0,100,0.178191,1,0.178191,100,0,5.611956,0.178191,1,0,1
2118042,1,192.168.100.148,42141,192.168.100.3,80,204648,0.42879,56,3.271398,1,3.626419,100,0,0.343654,4.229678,1,1,1
226750,1,192.168.100.150,43905,192.168.100.3,80,225273,0,100,0.192679,1,0.192679,100,0,5.189979,0.192679,1,0,1
2499965,1,192.168.100.149,38698,192.168.100.3,80,62277,0.079618,48,0,1,0.045968,100,0,0.092528,0.183871,1,1,1
3044665,0,192.168.100.147,27876,192.168.100.3,80,153887,1.369323,100,1.97245,4,3.908954,100,0,1.025049,4.88301,1,1,0
2794227,0,192.168.100.148,52186,192.168.100.3,80,165610,1.368133,83,1.370597,4,3.300139,100,0,0.631701,4.388757,1,1,0
3462754,0,192.168.100.150,64662,192.168.100.3,80,47673,0.976178,93,1.997006,4,3.37753,100,0,0.493759,4.068442,1,1,0
3530246,0,192.168.100.149,124,192.168.100.3,80,115165,0.988959,98,1.999319,4,3.397452,100,0,0.48972,4.127747,1,1,0
1143161,0,192.168.100.147,62465,192.168.100.7,80,1572,0.8854,68,2.032481,4,3.448358,68,0,0.218213,4.475446,1,0,0
1432785,0,192.168.100.148,47192,192.168.100.6,80,29042,1.745575,100,0,4,3.022915,100,0,0.247954,4.075013,1,0,0
3636868,1,192.168.100.147,34141,192.168.100.5,5925,13198,0,100,0.003565,1,0.003565,100,0,0,0.003565,1,2,2
1267263,0,192.168.100.150,55275,192.168.100.3,80,125674,1.793617,41,0,4,3.162423,41,0,0.461508,4.925339,1,0,0
2122231,1,192.168.100.148,43419,192.168.100.3,80,208837,1.82702,93,0,3,2.543398,100,0,0.275039,4.209236,1,1,1
3264213,0,192.168.100.147,26258,192.168.100.3,80,111285,0.82369,56,2.98056,4,3.985555,100,0,1.002884,4.998137,1,1,0
3359774,0,192.168.100.150,9811,192.168.100.3,80,206846,1.923857,96,0,4,2.7207,100,0,0.490688,4.094733,1,1,0
8085,1,192.168.100.147,9091,192.168.100.7,80,6608,0,100,0,3,0,100,0,0.130423,0,1,0,1
202748,1,192.168.100.148,58821,192.168.100.6,80,201271,0.012188,96,0,3,0.007037,96,0,0.134376,0.028147,1,0,1
986954,0,192.168.100.149,21342,192.168.100.5,80,107520,1.782065,100,0,4,3.086262,100,0,0.230705,4.150616,1,0,0
3640070,0,192.168.100.149,49345,192.168.100.5,49197,16567,0,14,0.000163,4,0.000163,57,0,0,0.000163,1,2,2
1095464,0,192.168.100.147,17217,192.168.100.7,80,216030,0.530838,100,2.541277,4,2.846189,100,0,0.406357,3.906763,1,0,0
2656277,0,192.168.100.148,7541,192.168.100.3,80,27660,0.314664,56,3.480996,4,3.925876,100,0,0.598806,4.157401,1,1,0
876684,0,192.168.100.149,65144,192.168.100.5,80,259410,0.027592,100,4.128484,4,4.156039,100,0,0.239862,4.183595,1,0,0
2797328,0,192.168.100.148,53281,192.168.100.3,80,168711,1.345703,100,1.375866,4,3.276434,100,0,0.635278,4.311903,1,1,0
930172,0,192.168.100.150,40757,192.168.100.3,80,50738,1.795755,93,0,4,3.591467,93,0,0.446668,4.497948,1,0,0
2244023,1,192.168.100.150,24454,192.168.100.3,80,68482,0.038471,36,3.602925,3,3.641397,100,0,0.271658,3.679868,1,1,1
812070,0,192.168.100.150,54968,192.168.100.3,80,194793,0.34206,74,3.825313,4,4.39376,74,0,0.411081,4.728631,1,0,0
134991,1,192.168.100.148,40420,192.168.100.6,80,133514,0,100,0,3,0,100,0,0.131938,0,1,0,1
3001320,0,192.168.100.147,6969,192.168.100.3,80,110542,1.367795,100,1.975978,4,3.910316,100,0,1.025074,4.884435,1,1,0
1050858,0,192.168.100.148,47498,192.168.100.6,80,171424,0.030118,74,3.512682,4,3.556089,74,0,0.280308,3.59781,1,0,0
1930216,1,192.168.100.150,16801,192.168.100.3,80,16819,2.2077,90,0,3,2.2077,100,0,0.136137,4.415399,1,1,1
2129699,1,192.168.100.149,16822,192.168.100.3,80,216306,0.036212,28,3.928213,3,3.964412,100,0,0.2493,4.000611,1,1,1
1533777,0,192.168.100.150,57602,192.168.100.3,80,130034,0.020529,100,4.775415,4,4.800015,100,0,0.6264,4.829761,1,0,0
3555064,0,192.168.100.147,43029,192.168.100.3,80,139983,1.878973,46,0.983424,4,3.640664,100,0,1.005725,4.980109,1,1,0
1193497,0,192.168.100.150,39026,192.168.100.3,80,51908,1.869694,77,0,4,3.301616,77,0,0.459752,4.967558,1,0,0
2955029,0,192.168.100.148,58762,192.168.100.3,80,64251,0.632219,69,2.765625,4,3.659693,100,0,0.729085,4.112458,1,1,0
79764,1,192.168.100.150,10842,192.168.100.3,80,78287,0.055652,99,0.054189,1,0.109841,99,0.040261,0.120782,0.165493,1,0,1
3398111,0,192.168.100.149,22433,192.168.100.3,80,245183,1.938914,100,0,4,2.741472,100,0,0.484599,4.160468,1,1,0
3120311,0,192.168.100.150,59525,192.168.100.3,80,229533,1.898134,100,0,4,2.684366,100,0,0.494621,4.029547,1,1,0
768144,0,192.168.100.148,38542,192.168.100.6,80,150867,1.556256,91,0,4,2.695512,91,0,0.24326,3.596529,1,0,0
3420492,0,192.168.100.150,57213,192.168.100.3,80,5411,0.969608,94,2.012251,4,3.383477,100,0,0.49326,4.07249,1,1,0
961554,0,192.168.100.147,48227,192.168.100.7,80,82120,0.439727,100,1.407334,4,2.390369,100,0,0.404365,2.596212,1,0,0
1845980,1,192.168.100.149,48009,192.168.100.3,80,194739,0,50,0,3,0,100,0,0,0,1,1,1
3512672,0,192.168.100.147,25492,192.168.100.3,80,97591,0.765617,43,3.338294,4,4.420716,100,0,0.916069,4.984839,1,1,0
3619646,1,192.168.100.147,2360,192.168.100.3,1,564,0,34,7.00E-06,1,7.00E-06,99,0,0,7.00E-06,1,2,2
2788981,0,192.168.100.149,26520,192.168.100.3,80,160364,1.961479,45,0,4,2.771486,100,0,0.403368,4.258472,1,1,0
2934665,0,192.168.100.147,51994,192.168.100.3,80,43887,1.369594,100,1.969048,4,3.905912,100,0,1.024222,4.884197,1,1,0
464015,1,192.168.100.148,40784,192.168.100.6,80,200386,0.069866,89,0,1,0.045406,89,0.051522,0.125832,0.180385,1,0,1
625146,0,192.168.100.147,10733,192.168.100.7,80,7869,1.244431,100,0,4,1.758567,100,0,0.306488,2.715786,1,0,0
2820545,0,192.168.100.148,61053,192.168.100.3,80,191928,1.234924,66,1.370139,4,3.105919,100,0,0.662216,4.140702,1,1,0
2850857,0,192.168.100.150,48836,192.168.100.3,80,222240,0.407174,100,4.037457,4,4.444631,100,0,0.458654,4.851805,1,1,0
23492,1,192.168.100.148,7409,192.168.100.6,80,22015,0.033961,78,0,1,0.016981,78,0,0.127817,0.084903,1,0,1
2200300,1,192.168.100.150,12228,192.168.100.3,80,24758,0.125946,63,3.565252,3,3.691202,100,0,0.269737,3.817152,1,1,1
3183465,0,192.168.100.148,41645,192.168.100.3,80,30537,0.647491,100,2.773994,4,3.689503,100,0,0.723909,4.163073,1,1,0
2541971,1,192.168.100.148,4859,192.168.100.3,80,104284,1.82614,63,0,1,1.423652,100,0.050838,0.118329,4.001515,1,1,1
3131226,0,192.168.100.150,64807,192.168.100.3,80,240448,1.902099,40,0,4,2.689973,100,0,0.494539,4.038394,1,1,0
542777,1,192.168.100.149,41826,192.168.100.5,80,16995,0,100,0,3,0,100,0,0.033971,0,1,0,1
1698367,1,192.168.100.149,8410,192.168.100.3,80,47126,0,100,0,3,0,100,0,0.094579,0,1,1,1
2055117,1,192.168.100.147,47750,192.168.100.3,80,141723,1.612284,100,0.198348,1,2.478322,100,0,0.356951,3.640228,1,1,1
1596596,0,192.168.100.148,29073,192.168.100.6,80,192854,0.026847,100,3.98775,4,4.024628,100,0,0.24784,4.051011,1,0,0
473224,1,192.168.100.149,54557,192.168.100.5,80,209595,2.136066,100,0,3,1.510427,100,0,0.127415,4.531281,1,0,1
1484155,0,192.168.100.150,21363,192.168.100.3,80,80412,1.926049,100,0,4,3.850803,100,0,0.573755,4.908594,1,0,0
3033246,0,192.168.100.147,22784,192.168.100.3,80,142468,1.367234,75,1.97756,4,3.911107,100,0,1.024775,4.884659,1,1,0
2667033,0,192.168.100.147,29963,192.168.100.3,80,38416,0.454449,100,3.982228,4,4.345253,100,0,0.840349,4.986053,1,1,0
455605,1,192.168.100.148,38311,192.168.100.6,80,191976,0.054412,35,0,1,0.03347,35,0.039368,0.127086,0.140249,1,0,1
1246440,0,192.168.100.147,38257,192.168.100.7,80,104851,1.819973,100,0,4,2.227101,100,0,0.213247,3.848833,1,0,0
744759,0,192.168.100.148,33397,192.168.100.6,80,127482,1.552322,100,0,4,2.68869,100,0,0.23975,3.591539,1,0,0
2814425,0,192.168.100.150,35184,192.168.100.3,80,185808,1.834296,100,0,4,2.586202,100,0,0.423469,4.05433,1,1,0
1982810,1,192.168.100.150,44146,192.168.100.3,80,69416,1.927133,14,0,1,2.722795,100,0,0.275717,4.186916,1,1,1
3084568,0,192.168.100.149,46189,192.168.100.3,80,193790,1.912449,100,0,4,2.704606,100,0,0.493354,4.061014,1,1,0
624622,0,192.168.100.147,10209,192.168.100.7,80,7345,1.244341,100,0,4,1.758446,100,0,0.306478,2.716023,1,0,0
760522,0,192.168.100.148,36872,192.168.100.6,80,143245,1.546631,100,0.01996,4,2.698775,100,0,0.241955,3.600075,1,0,0
1186304,0,192.168.100.147,3312,192.168.100.7,80,44715,0.799167,100,1.935203,4,3.299116,100,0,0.217666,3.976325,1,0,0
3076527,0,192.168.100.148,30222,192.168.100.3,80,185749,0.640158,100,2.749733,4,3.655052,100,0,0.656642,4.109399,1,1,0
1643633,0,192.168.100.149,24359,192.168.100.5,80,239891,1.704773,100,0,4,2.810383,100,0,0.279121,4.600881,1,0,0
1282001,0,192.168.100.148,47562,192.168.100.6,80,140412,2.025943,100,0,4,1.653512,100,0,0.189005,4.224535,1,0,0
